epoch,rs_drl_loss_mean,rs_drl_loss_std,baseline_loss_mean,baseline_loss_std,rs_drl_q_mean,rs_drl_q_std,baseline_q_mean,baseline_q_std,reshape_rate_mean
1,0.321475,0.040370,0.081597,0.033746,2.229918,0.809258,2.154061,0.885519,0.281250
2,0.240964,0.012730,0.016355,0.000590,2.433697,0.734798,2.208923,0.928017,0.281250
3,0.265233,0.020059,0.016094,0.001082,2.539291,0.661238,2.186171,0.895956,0.281250
4,0.305518,0.028769,0.017106,0.002467,2.720306,0.585030,2.172157,0.889129,0.281250
5,0.361985,0.035187,0.018936,0.002728,2.850964,0.506389,2.132920,0.880846,0.281250
6,0.428171,0.031084,0.019634,0.001863,3.149744,0.462757,2.147330,0.850177,0.281250
7,0.480573,0.021293,0.020877,0.002646,3.300073,0.419307,2.148668,0.856519,0.281250
8,0.550920,0.026209,0.024020,0.002727,3.636981,0.481572,2.172849,0.824107,0.281250
9,0.615204,0.062637,0.026156,0.003101,3.942900,0.559456,2.175331,0.879997,0.281250
10,0.683999,0.080608,0.031697,0.006464,4.106970,0.563936,2.177970,0.862868,0.281250
11,0.737923,0.089262,0.030735,0.004038,4.357836,0.588141,2.185959,0.854284,0.281250
12,0.781100,0.102349,0.033615,0.003065,4.486484,0.639866,2.169662,0.850912,0.281250
13,0.820200,0.123057,0.034481,0.004057,4.685558,0.679043,2.167459,0.810479,0.281250
14,0.852507,0.164269,0.037924,0.004365,4.792963,0.739127,2.186064,0.838837,0.281250
15,0.899511,0.219582,0.040340,0.007361,4.918410,0.731222,2.148269,0.804462,0.281250
16,0.955916,0.238691,0.044269,0.007314,5.016826,0.742371,2.172739,0.849647,0.281250
17,1.016206,0.255118,0.047693,0.010365,5.122235,0.760023,2.154690,0.834284,0.281250
18,1.075150,0.247901,0.052408,0.011765,5.214025,0.814762,2.150810,0.853426,0.281250
19,1.179249,0.254272,0.057661,0.016158,5.167736,0.690427,2.153046,0.839935,0.281250
20,1.260929,0.257927,0.059768,0.019971,5.287783,0.755107,2.145222,0.844356,0.281250
21,1.375762,0.249362,0.065124,0.020715,5.346491,0.808612,2.149625,0.874092,0.281250
22,1.537299,0.228780,0.067378,0.023141,5.460303,0.842989,2.171775,0.927236,0.281250
23,1.725118,0.229171,0.076245,0.025631,5.503889,0.823939,2.158698,0.905805,0.281250
24,1.913049,0.194177,0.082649,0.020680,5.621519,0.867411,2.146405,0.896072,0.281250
25,2.084916,0.130811,0.091068,0.026685,5.702360,0.905998,2.198393,0.887048,0.281250
26,2.410570,0.049999,0.103472,0.028355,5.747626,0.876372,2.176617,0.885328,0.281250
27,2.597187,0.036684,0.124773,0.034344,5.886572,0.938074,2.248789,0.885138,0.281250
28,3.030247,0.212088,0.146065,0.043347,5.997142,0.942241,2.270463,0.870693,0.281250
29,3.361036,0.322782,0.177104,0.057834,6.120773,0.903948,2.342350,0.874736,0.281250
30,3.627271,0.392540,0.203009,0.058309,6.193330,0.880154,2.372207,0.895903,0.281250
31,4.116169,0.547889,0.232099,0.066199,6.335314,0.931270,2.458134,0.887238,0.281250
32,4.638060,0.738026,0.269390,0.081834,6.437171,0.932564,2.473635,0.913141,0.281250
