epoch,rs_drl_loss_mean,rs_drl_loss_std,baseline_loss_mean,baseline_loss_std,rs_drl_q_mean,rs_drl_q_std,baseline_q_mean,baseline_q_std,reshape_rate_mean
1,0.300592,0.031340,0.065042,0.026775,1.947333,0.837621,1.851745,0.870205,0.281250
2,0.238164,0.014783,0.012889,0.001987,2.138051,0.768810,1.876583,0.876404,0.281250
3,0.258607,0.017562,0.012403,0.001655,2.299652,0.766809,1.886596,0.851855,0.281250
4,0.293974,0.022314,0.013345,0.001267,2.546596,0.741479,1.894207,0.844511,0.281250
5,0.337610,0.018278,0.014316,0.000889,2.697296,0.725138,1.867532,0.850045,0.281250
6,0.397526,0.015386,0.014271,0.000533,2.972392,0.707773,1.869262,0.819028,0.281250
7,0.450370,0.016522,0.014990,0.000716,3.149189,0.748273,1.826780,0.824612,0.281250
8,0.520080,0.025320,0.016631,0.001453,3.476200,0.814952,1.825942,0.792857,0.281250
9,0.561500,0.046297,0.016954,0.002422,3.796731,0.898921,1.830965,0.801195,0.281250
10,0.640049,0.060043,0.020741,0.007918,3.938405,0.968992,1.811807,0.796509,0.281250
11,0.666266,0.062305,0.019421,0.006993,4.230370,1.033775,1.827556,0.753039,0.281250
12,0.661274,0.082308,0.020074,0.006338,4.442177,1.070433,1.792993,0.744246,0.281250
13,0.655973,0.076118,0.019474,0.005396,4.640641,1.172009,1.772100,0.714114,0.281250
14,0.630689,0.063735,0.019417,0.005681,4.738510,1.198615,1.769364,0.728817,0.281250
15,0.596494,0.077506,0.020300,0.006802,4.894224,1.216206,1.764129,0.735821,0.281250
16,0.566648,0.081355,0.019693,0.007054,4.958925,1.214188,1.745957,0.745591,0.281250
17,0.548233,0.079764,0.018583,0.007669,5.076082,1.256530,1.726951,0.743933,0.281250
18,0.530117,0.092572,0.018786,0.007719,5.134517,1.221307,1.711297,0.747835,0.281250
19,0.495775,0.104698,0.018846,0.008877,5.154784,1.279917,1.699146,0.745556,0.281250
20,0.478106,0.113929,0.017050,0.009383,5.276978,1.293719,1.692653,0.740271,0.281250
21,0.440847,0.122272,0.016237,0.008889,5.284440,1.256418,1.678991,0.731896,0.281250
22,0.422918,0.108985,0.015661,0.008839,5.329163,1.239264,1.651965,0.736431,0.281250
23,0.408978,0.113223,0.017090,0.009819,5.286887,1.230462,1.655352,0.739823,0.281250
24,0.387846,0.110332,0.015156,0.008138,5.317741,1.242254,1.625066,0.728025,0.281250
25,0.394361,0.120435,0.013872,0.007835,5.324283,1.229230,1.647324,0.711868,0.281250
26,0.362571,0.101050,0.013207,0.006816,5.320415,1.247060,1.614828,0.715897,0.281250
27,0.348890,0.086880,0.012122,0.005872,5.274189,1.246704,1.603984,0.702436,0.281250
28,0.339887,0.075723,0.010738,0.005260,5.252731,1.168207,1.592868,0.669452,0.281250
29,0.329452,0.067178,0.011216,0.006268,5.224656,1.188824,1.584071,0.675603,0.281250
30,0.325398,0.066253,0.010702,0.005753,5.200616,1.200407,1.531218,0.675266,0.281250
31,0.309357,0.049024,0.010699,0.006335,5.137009,1.175948,1.517224,0.656154,0.281250
32,0.301591,0.048800,0.009599,0.004656,5.093733,1.171673,1.483540,0.649373,0.281250
